uf,municipio,codigo_ibge,numero_de_cadastro,area_cadastrada
SP,ARCO-ÍRIS,3503356,421,26151.1381
SP,HERCULÂNDIA,3519006,607,34912.9954
SP,INÚBIA PAULISTA,3520806,151,9159.9188
SP,OSVALDO CRUZ,3534609,869,22360.6238
SP,PRACINHA,3540853,106,6005.7576
SP,BASTOS,3505807,523,17133.538
SP,IACRI,3519204,574,31559.8993
SP,LUCÉLIA,3527405,639,28988.199
SP,PARAPUÃ,3536000,868,35472.0279
SP,QUEIROZ,3541802,136,25689.7486
SP,RINÓPOLIS,3543808,787,36086.7015
SP,SAGRES,3544707,278,13544.8808
SP,SALMOURÃO,3545100,250,19704.4104
SP,TUPÃ,3555000,1436,60030.9044
