uf,numero_de_cadastro,area_cadastrada
AL,137105,2448333.8539
AM,93940,119093048.4256
BA,1229285,40253072.9139
CE,393641,12331389.2457
DF,20076,947104.4926
GO,230349,34317811.6276
MA,388653,37295034.6640
MG,1130810,57552592.5842
MT,193750,88446991.7187
PE,420072,8178945.8921
PR,539282,19507883.6736
RJ,65823,3105413.0192
RN,112359,4425119.4435
RO,174851,17003173.6415
RS,653114,24616373.5307
SE,117489,1977883.1564
AC,53983,15403071.9866
AP,16019,5923853.7996
ES,123487,3938553.7404
MS,85553,35977857.8880
PA,345723,88200938.3409
PB,208974,4670568.1739
PI,320053,25582829.0112
RR,26483,8547531.4320
SC,411849,8792933.1757
SP,439770,22298529.1363
TO,97784,23595483.4536
